fecha;nombre_tienda;factor;metodo_pago_limpio;moneda;total_transacciones;total_monto_sistema;MONTO SISTEMA USD;total_monto_auditado;MONTO AUDITADO USD
1/7/2026;[ GNR ] - GUANARE;633,3644;PUNTO DE VENTA;VES;41;430.303,28;679,39;434.103,46;685,39
1/7/2026;[ CUA ] - CUMANA SHOP;633,3644;BIOPAGO;VES;59;589.663,78;931;568.755,60;897,99
1/7/2026;[ CUA ] - CUMANA SHOP;633,3644;PAGO MOVIL;VES;6;30.700,95;48,47;51.429,15;81,2
1/7/2026;[ PML ] - PLAZA MAYOR LECHERIA;633,3644;PAGO MOVIL;VES;4;56.770,03;89,63;56.769,98;89,63
1/7/2026;[ PML ] - PLAZA MAYOR LECHERIA;633,3644;PUNTO DE VENTA;VES;5;22.801,18;36;22.801,18;36
1/7/2026;[ PML ] - PLAZA MAYOR LECHERIA;633,3644;BIOPAGO;VES;10;71.043,03;112,17;71.043,02;112,17
1/7/2026;[ TMO ] - TURMERO;633,3644;PUNTO DE VENTA;VES;30;175.402,92;276,94;262.301,40;414,14
1/7/2026;[ MJN ] - MOJAN;633,3644;BIOPAGO;VES;22;268.533,17;423,98;254.649,09;402,06
1/7/2026;[ MJN ] - MOJAN;633,3644;PUNTO DE VENTA;VES;7;93.991,21;148,4;68.023,28;107,4
1/7/2026;[ TPV ] - TERMINAL PLAZA VENEZUELA;633,3644;PUNTO DE VENTA;VES;14;81.976,35;129,43;75.398,37;119,04
1/7/2026;[ CSZ ] - CAJA SECA ZULIA;633,3644;PUNTO DE VENTA;VES;1;7.600,37;12;7.600,37;12
1/7/2026;[ LMU ] - LA MARRON 1;633,3644;PUNTO DE VENTA;VES;49;691.867,76;1.092,37;724.887,99;1.144,50
1/7/2026;[ LMU ] - LA MARRON 1;633,3644;PUNTO DE VENTA;VES;0;0;0;11.837,42;18,69
1/7/2026;[ BCN ] - BARCELONA;633,3644;PUNTO DE VENTA;VES;1;-11.199,84;-17,68;0;0
1/7/2026;[ ECM ] - ECOMMERCE;633,3644;PAGO MOVIL;VES;20;159.452,78;251,76;154.600,00;244,09
1/7/2026;[ SCM ] - SAN CASIMIRO;633,3644;BIOPAGO;VES;30;192.693,52;304,24;198.773,84;313,84
1/7/2026;[ GPT ] - GUASIPATI;633,3644;EFECTIVO BS;VES;7;25.334,58;40;19.700,00;31,1
1/7/2026;[ BRC ] - BARRANCAS;633,3644;BIOPAGO;VES;7;61.816,37;97,6;62.449,60;98,6
1/7/2026;[ BRC ] - BARRANCAS;633,3644;EFECTIVO BS;VES;5;38.027,33;60,04;37.400,00;59,05
1/7/2026;[ THA ] - TACHIRA;633,3644;PAGO MOVIL;VES;1;13.933,95;22;0;0
1/7/2026;[ TGO ] - EL TIGRITO;633,3644;BIOPAGO;VES;45;536.099,07;846,43;549.399,75;867,43
1/7/2026;[ BAC ] - BUENOS AIRES CANGURO;633,3644;PUNTO DE VENTA;VES;1;3.115,08;4,92;0;0
1/7/2026;[ ECM ] - ECOMMERCE;633,3644;PAGO MOVIL;VES;10;126.046,17;199,01;126.046,12;199,01
1/7/2026;[ TGO ] - EL TIGRITO;633,3644;PUNTO DE VENTA;VES;2;5.700,34;9;5.700,34;9
1/7/2026;[ SAM - CHA ] - SAMBIL CHACAO;633,3644;PUNTO DE VENTA;VES;0;0;0;0,01;0
